channelnum,convo,rest
1,1,1
2,1,1
3,2,2
4,2,3
5,1,1
6,0,2
7,1,2
8,1,0
9,1,0
10,1,1
11,1,0
12,1,0
13,3,2
14,2,2
15,5,1
16,1,0
17,1,0
18,0,0
19,0,0
20,0,0
21,1,1
22,1,1
23,0,1
24,3,4
25,5,2
26,4,3
27,2,2
28,3,3
29,2,5
30,2,2
31,5,4
32,3,3
33,2,3
34,2,1
35,2,4
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
